Date,Close,Volume,Open,High,Low
02/28/2020,101.1098671,3298,100.0287569,102.9888524,100.4611526
02/27/2020,201.7959567,4750,200.1959361,202.3437412,200.031451
02/26/2020,302.8441387,1298,302.4885808,303.0577132,301.1618816
02/25/2020,401.6569253,8286,400.9790507,402.5809788,401.3279303
02/24/2020,500.6043525,6386,500.3252628,501.5697929,500.0778403
02/21/2020,599.5150663,3384,597.8561639,601.11436,598.9880383
02/20/2020,700.8207759,3012,700.2212939,701.5692923,699.3179516
02/19/2020,801.6488192,6042,799.6559659,802.8286059,800.0342076
02/18/2020,900.5430075,6846,899.7433549,901.3831981,899.1442351
02/14/2020,1003.657622,3982,1002.402814,1004.839889,1002.481636
02/13/2020,1101.959527,6902,1101.700946,1103.427736,1101.620285
02-12-2020,1199.641507,4830,1198.298258,1200.66628,1198.578467
02-11-2020,1298.404814,9539,1296.513081,1299.063213,1297.647122
02-10-2020,1396.098289,5866,1395.798982,1397.86705,1394.183329
02-07-2020,1494.765374,2556,1493.958285,1495.642682,1493.016869
02-06-2020,1595.439481,2471,1594.395341,1596.26584,1595.285991
02-05-2020,1696.988059,2386,1696.552635,1698.154033,1695.378471
02-04-2020,1797.932435,1769,1797.294545,1798.98357,1797.442843
02-03-2020,1894.967779,9196,1893.78289,1895.367326,1894.09443
01/31/2020,1995.889124,5403,1994.582853,1997.856454,1994.788469
01/30/2020,2098.239071,1806,2096.784005,2098.743018,2096.881657
01/29/2020,2200.716399,7429,2200.686433,2202.118845,2200.423493
01/28/2020,2300.672539,7709,2300.353661,2301.058048,2298.986109
01/27/2020,2398.693526,7486,2397.828277,2399.401653,2397.6563
01/24/2020,2499.773088,8234,2498.535134,2500.240198,2499.614282
01/23/2020,2602.795787,1638,2602.102219,2603.169336,2601.685708
01/22/2020,2702.798607,6043,2700.992406,2703.469562,2702.120017
01/21/2020,2800.135444,8546,2798.81718,2800.505368,2799.732657
01/17/2020,2903.643149,5874,2902.242096,2905.287449,2903.546771
01/16/2020,3005.464219,3404,3005.448588,3006.132077,3005.050387
01/15/2020,3103.522929,2549,3101.665746,3104.026894,3102.850756
01/14/2020,3203.309038,9269,3202.114256,3205.169995,3203.125555
01/13/2020,3304.12476,9915,3302.536581,3305.742766,3303.215952
01-10-2020,3405.601734,8820,3403.706243,3407.018441,3404.173016
01-09-2020,3505.254069,7344,3503.314306,3507.057523,3504.681409
01-08-2020,3606.249163,9485,3605.319813,3607.130554,3605.900644
01-07-2020,3702.642345,6050,3700.894217,3704.543304,3702.617265
01-06-2020,3798.037967,1900,3797.836731,3799.708349,3797.951565
01-03-2020,3898.808868,1447,3897.50653,3898.860113,3897.32772
01-02-2020,4001.402353,2028,4000.562364,4002.262197,3999.519516
12/31/2019,4099.469937,4016,4099.460851,4100.883309,4099.078491
12/30/2019,4201.454432,3998,4199.981906,4203.291064,4201.170018
12/27/2019,4301.474357,9124,4299.938233,4301.943669,4300.087912
12/26/2019,4402.354234,3561,4400.535197,4402.638263,4400.409993
12/24/2019,4501.039798,6601,4500.696933,4501.657615,4500.762254
12/23/2019,4602.412062,4326,4601.830474,4602.75751,4601.614431
12/20/2019,4699.735863,1582,4698.473948,4700.07107,4698.253153
12/19/2019,4799.290928,1521,4797.971443,4800.788574,4798.157213
12/18/2019,4895.917754,7654,4894.861239,4897.601791,4894.843297
12/17/2019,4996.500098,3549,4995.659862,4996.920415,4995.206347
